术语,类别,别名,定义,用途,口径_分子,口径_分母,口径_粒度,口径_时间窗,口径_数据源,指标与阈值,越界后果_高于,越界后果_低于,替代与升级,计算状态,实施状态,口径状态,同名异义,冲突登记,出现档,权威取自,schema
异常对关联,荷官维度,,完美对打名单会员占其桌独立客数的比例。,荷官罚侧维——对打客向少数荷官聚集即此维发亮，先查玩家非先罚荷官,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
弹性,经济学,,一个量变动 1% 时另一个量变动百分之几。,洗码量对退水的弹性 η、流失对下调幅度的敏感度 β——赏罚经济学的两个关键先验。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
当值时长,荷官维度,,全窗在册局数合计。,荷官赏侧维——分层基准：不做分层，榜首永远是上班最少的人,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
影子模式,风控流程,Shadow Mode,触发预警后不立即处置，转入静默观察期；若指标自行回归常态则撤销预警。,降低对高价值会员的误伤；新触发规则上线前的强制前置关卡。,—,—,会员×规则,业界惯例 7–14 天，本项目未定,—,观察期长度须依结局分布与 MDE 反解，禁写普适天数（铁律 P-06）。,观察期过长则风险敞口延长，套利者已获利离场。,观察期过短则均值回归尚未发生，等同直接处置，误伤率不降。,替代方案为限额降级（软处置）而非封停；升级路径为影子期内并行 A/B 以取得因果证据。,DEFINED,⚠ 理论——本项目尚未实装,不得因术语出现而推断已实装。,TRUE,P0-4：R01 双档描述为既有机制，D06高精明写『本项目尚未实装，列为待验证方向』。属生产状态误标。,D06高精；R01前；R01后,R01后,FULL8
待表·置零,呈现纪律,,缺数据的维度在雷达上一律以 0 呈现并在轴名注明「待表·置零」。,风控专员四个待表维的呈现方式（§17.2 成法）：无数据即零，绝不合成,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
成本敏感最优阈值,阈值引擎,,训练窗内再切「选人窗＋结账窗」，在候选档位网格上以结账窗「0.60×追回 − 0.15×误伤损失」期望净增益最大化选阈（Elkan 2001 × 嵌套时序验证）。,玩家罚阈值的现选准则——以训练窗自身净赢做目标会被极端高额个体主导（实测折均为负），嵌套结账窗才对准「未来的钱」；折间波动即其不确定度,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
打水,博彩业务,,靠对押刷洗码量套取退水，而非靠赢钱获利。,T3 类型。**唯一可以靠改一个数字（退水档位）立刻止血的一类。**,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
批量注册嫌疑,玩家维度,,1/(1+最小搭档号距)：搭档会员号越相邻嫌疑越大（IP-S8 口径）。,批量开户的形状判据——本平台实测搭档号距中位数仅 32,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
抓人,本方案用语,,以账户为对象的处置（封号、冻结账户）。,本方案的**最后手段**。误伤一个好客人赔的是终身价值，且团伙会换号重来——问题没解决，只是看不见了。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
投注产品,博彩业务,,产品大类之下可独立下注、独立结算、各有独立理论庄家优势的标的，库内为 bet09，百家乐共 23 种。,庄 / 闲 / 和 / 对子 / 龙宝 / 幸运6 等各是一种投注产品。胜率基准必须逐产品各算各的，且须与结算形态同基：剔和后庄 50.68%、和 9.48%、大 62.38%（庄闲有和局退还，押和与边注无退还），混算必错——这是废除统一 70% 门槛的直接依据。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
抗极端值,统计性质,,估计量不被少数极端观测拖走的性质（如中位数、分位数、Winsorize）。,博彩流水极端右偏，前 1% 会员可占三成流水。评分一律走**分位归一**而非原值，就是为此。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
折内金标准,回测纪律,,只纳入证据发生日早于该折训练窗末日的正例，构成该折自己的训练标签。,杜绝标签侧泄漏的唯一正当做法；罚侧的事后取证不受此约束,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
折结构自证,回测纪律,,逐折列出训练区间、训练日数、实测空窗与测试区间，并硬判空窗是否达标、训练长度是否恒定、测试窗是否严格递增。,折是否合规须以实测表判定，不凭源码推断——空窗为零日照样满足「训练早于测试」，只查先后次序验不出空窗缺位,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
持续正向优势候选（T2）,风险用户代号,,净赢持续为正且下行波动小者，以索提诺下行比与 CAS 判别。**只是候选，不是定论**——持续正向优势不等同于技术，更不等同于作弊。,作为筛查信号进入调查队列；本报告实测个体毛利率两期自相关仅 0.112，持续性本身就不甚持续，故须另有结构证据（对打配对、同 IP 协同、批量注册、荷官关联）方可定性处置,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
换档,军械,,评分不变，只按经营状态调整阈值档位与赏侧节奏。,收割期收紧罚侧、冲刷期打开赏侧——赏罚跟着经营节律走,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
提升度,未分类,,Lift：某分层内正例占比 ÷ 全体基准率。提升度 10x 即该层筛出风险会员的效率为随机抽查的 10 倍。,（待补：本档未载用途）,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,R01后,R01后,MIN
提升度（Lift）,关联分析,,实测共现次数 ÷ 独立假设下的期望共现次数。,R-02 团伙同桌的去巧合校正。全场仅 30 张桌，两个夜班高频散客同桌率天然超 30%——那是鸽笼原理，不是团伙。**Lift≥3 才脱离巧合**。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
收缩估计,模型方法,,样本越少，估计越往总体均值拉。,同上。荷官与代理评分的必需环节。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
新增会员质量,代理维度,,首月晚于全窗首月的新增会员，其首月给平台净贡献的均值。,代理赏侧维——区分「拉人头」与「拉客人」（P_player_month 现算）,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
最大回撤,风险调整收益,,从历史最高点跌到后续最低点的最大跌幅。,回测里代表「这套规则最坏时会连亏多少」，直接决定试运行期该准备多少缓冲预算。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
最小可检测效应 MDE,实验设计,,在给定样本量、显著性水平与检验功效下，实验能被检出的最小真实效应。,灰度实验的可行性前提——本窗实测原始口径每组千余人时 MDE 约与基线同量级，等于检不出任何效应，故必须先做方差削减,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
月留存率,代理维度,,相邻两个自然月都活跃的会员数，除以上月活跃会员数，取全窗平均。,代理维的价值项；只看会员数会把「拉一堆人来就消失」的线算成好线,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
期间总额,口径纪律,,按整个检验窗（本报告为 14 个营业日）合计的金额或计数，非单日值。,图 8、表 6、图 12 与三情景面板的一切数字皆为此口径——**不可当作日频序列读**,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
朴素外推,预测评估,,以训练窗日均值乘以测试窗天数作为预测，不用任何模型。,MASE 的分母基准；任何模型若打不过它，就不值得上线,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
标签侧泄漏,回测纪律,,训练标签本身含有测试期才出现的信息。与特征侧泄漏并列而不同——净化滚动只隔离特征，若标签由全窗证据构成，折内训练照样看见未来。,本报告的金标准含全窗完全反向对打，故模型轨折级成绩一律记为上界，待 §C06d 的时点列到位后改为折内金标准重算,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
样本内评估,验证陷阱,,用训练时见过的数据评估自己。得到的是拟合优度，不是泛化能力。,军械库曾犯过一次（Regime Kernel），已改 70/30 留出。**这类错不报错，只安静给漂亮数字。**,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
模块度,图论,,社群划分质量，越高说明社群结构越明显。,0.309 表示社群结构存在但不算致密——解读时不可当成铁证。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
止血,本方案用语,,不追究个体、直接改配置参数来停止漏损。,T3 打水型是唯一可以只靠「改一个数字」（退水档位）止血的一类，不需要抓任何人。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
注额斜率,未分类,,stake_ramp = 靴尾人均单注额 ÷ 靴尾以外人均单注额；>1 表示该会员在靴尾段下注更大，<1 反之，=1 表示两段注额无差异。,（待补：本档未载用途）,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,R01前；R01后,R01后,MIN
洗码量,金额正名,有效投注额；Turnover；Rolling；valid_bet,计入退水与占成结算的有效投注部分；和局退注等不计。,退水计提基数、代理占成结算基数，亦为 hold% 的候选分母之一。,—,—,注单级可聚合,随所在章节,ods_a168_bet02.validbet ÷ bet11,洗码量／本金比恒 ≤ 1；实测（R01∩S05）p10=0.7961、中位 0.8998、p90=0.9375，无一超 1。,比值 >1 即口径错误（分子分母不同源或汇率未归一），须停止分析先修口径。,比值异常偏低指向和局／退注占比高，属产品结构差异，非风险信号。,R01_late_shoe.csv 未输出 validbet，以 stake 近似替代——属近似，非严格同义，禁止写成等式。,COMPUTABLE,PRODUCTION,"⚠ validbet 双定义未结（F-02，S1）；SQL 总包实测 4 处用 COALESCE(vb_raw,stake_raw) 回退本金、19 处直取 validbet（空即 NULL），同名两义。",TRUE,P0-2：R01 双档写『以 stake 近似替代』，D-06 双档写『源自 validbet ÷ 汇率，F-02 未结』。R01 侧未提 F-02 这一 S1 级悬案。,D06基准；D06高精；R01前；R01后；主·精要报告,主·精要报告,FULL8
洗码量（validbet）,博彩业务,,计入退水的有效投注额。对押互抵的部分通常不计。,退水与占成的计算基数，也是打水套利的核心标的。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
活跃稳定,玩家维度,,出勤天数占在册天数之比。,玩家赏侧维；连续在场者优于偶发大额者,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
流失系数 0.15,外生常数,,每误伤 1 元好客的贡献，预计带来 0.15 元的后续流失损失。,净增益公式的惩罚项系数；确保模型不会靠「宁可错杀」刷高账面收益,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
流水贡献,玩家维度,,剔除对打嫌疑流水后的真实洗码量。,玩家赏侧第一维（K01 剔对打现算）——虚增流水在此维不加分,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
物理上限（自相关）,预测评估,,同一个体相邻两期指标的自相关，是任何模型可解释部分的天花板。,个体毛利率两期自相关实测仅 0.112，当前模型 Spearman 0.20 已达其 189%——**换模型无用，换标的才有出路**,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
特定玩家复现率,荷官维度,,其桌注额中前五名玩家的合计占比。,荷官罚侧维——同一批人反复出现在同一桌是共谋的形状,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
玩家-局,未分类,,分析粒度单位：一个玩家在一局中的全部注单折叠成的一行。既非一张注单，亦非一个物理局（同局多人参与则产生多个玩家-局行）。,（待补：本档未载用途）,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,D06基准；D06高精,D06基准,MIN
玩法,博彩业务,,玩家如何下注的方式：平注、倍投、看路跟注、追长龙等。,与产品正交的另一个概念。本方案严格区分二者：把投注产品称作玩法，会让「按产品分设胜率基准」这条结论被误读成在讲下注习惯。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
现算,口径纪律,,数字由随附导出件在渲染时当场计算，非人工填写。,本报告的基本纪律：凡挂不上 SQL 编号的数字一律不写进报告,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
生命周期阶段,玩家维度,,首末注单跨度与近期活跃衰减的合成量，区分新客、成熟与流失前兆。,玩家赏侧维；现流失前兆者转入 Cox 挽留通道而非罚侧,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
生存分析,军械,,研究『距离事件发生还有多久』的统计学，天然处理观察期未结束（删失）的个体。,窗口末仍活跃的会员并未流失、只是删失——用普通回归会把他们算错,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
登记册,未分类,,《风险类型 × 交付件 × 判据维度 × 证据裁定》登记册：数据资产（配置件），YAML 为单一真相源、CSV 为派生字典，由 函数/registry_loader.R 载入并施行门闸。它分类的是证据，不是用户。,（待补：本档未载用途）,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,R01前,R01前,MIN
登记跨度,风控专员维度,,首次登记至最近登记的天数（§17.2 原式由两列派生）。,专员赏侧维——持续在岗贡献，而非一次性突击标注,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
盈亏平衡误判率,误判经济学,,"min(1, 0.60×名单赢走额 ÷ 0.15×名单输掉额)：实际误判率越过此线，误伤罚项才吞掉追缴收益。",误判率的**阈值**——本窗实测此线常顶格 100%（0.60W 大于 0.15L）：罚只追缴净赢者，即使按最坏口径全员误判仍不亏，误判成本天然有界,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
盈利增幅,结账口径,,本方案净增益除以同期全池盈利。,回答「在给定情景参数下潜在增利几个百分点」——**潜在**二字不可省：真实增量须经随机对照实验证实,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
盈利增长乘数,预测评估,,实体组测试窗实际盈利 ÷ 朴素外推。,实体级预测表的核心列：高能力组乘数系统性更高，即能力值在荷官与代理层同样带得动盈利,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
真实流水,代理维度,,线下会员剔对打后的洗码量合计（K01.validbet×(1−hedge_rate) 归线）。,代理赏侧维；与「线下规模」分立，防拉人头充数,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
禁运期,回测纪律,,训练窗结束到测试窗开始之间刻意空出的天数（本报告为 7 日）。,阻断跨窗结算与延迟信息的泄漏通道,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
禁运期（Embargo）,验证方法,,训练窗结束后空出一段不用，避免结算与人工标记的滞后造成泄漏。,注单结算与風險單回填有延迟，7 日覆盖绝大部分。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
禁运期（embargo）,回测方法,,训练窗结束到测试窗开始之间刻意空出的一段时间。,本方案取 7 天。作用是切断跨窗口的信息渗透——会员的行为有惯性，紧挨着的两天几乎是同一批人同一种状态。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
秩持续性 Jaccard,预测评估,,相邻两期高价值名单的重合度。,实测仅 0.02（以历史净贡献排名亦只 0.18）——故本方案是**群体分层工具，非个体挑选工具**；此约束只及赏侧与价值排序，不及罚侧证据链,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
稳定赢强度,折内罚维,,赢日占比 × 在场日数：赢得越稳、在场越久，此维越高。,索提诺稳定性的折内代理（逐折可算）——不补此维，稳定赢家会混进综合分顶层冒充优质客（本窗实测第 10 十分位盈利率为负即其形状）,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
符号检验,未分类,,Sign Test，非参数配对检验，只用差值的正负号（不用差值大小），检验中位数差异是否为零；对厚尾分布比配对t检验更稳健，本报告的主检验方法。,（待补：本档未载用途）,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,R01前；R01后,R01后,MIN
算牌 / ramping,博彩业务,,靴末段剩余牌可数性提高，真数有利时把注额抬高数倍。,R-01 的真正指纹。**只统计「有没有晚下注」会丢掉全部信号强度**，必须看注额斜率。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
簇,聚类分析,,特征空间里彼此靠近、形成一团的样本集合。,T4 扩样的输出单位。**簇不是团伙**——同一簇只说明行为相似，构成团伙还需要 R-02 的同局证据。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
精确率 / 召回率,模型评估,,精确率＝命中里有多少是真的；召回率＝真的里抓到多少。,精确率低＝误伤好客人（赔终身价值）；召回率低＝漏放套利团伙（赔当期漏损）。本方案偏向保精确率。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
索提诺比率,风险调整收益,,超额收益 ÷ **下行**波动。只罚亏损那一侧的波动。,比夏普更贴风控场景：赢多了不该被罚。T2 持续正向优势候选判别的主指标——**其指纹是输的时候不该输那么多**。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
累计净增益,经济核算,,逐折净增益按时间顺序累加所得的曲线；净增益＝从该罚者手上收回的部分 −因误伤好客造成的流失损失。,本方案对「累计收益」一律采此口径，全篇同名同义；累计走势图的纵轴即为它,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
累计收益,经济核算,,本方案中即**累计净增益**的同义表述，口径完全一致，不另设第二套算法。,保留此说法仅为行文顺口；凡出现处均指同一条曲线，避免读者误以为是两个指标,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
线性自编码,军械,,以 PCA 前四主成分重构原始特征，重构误差大即此人罕见（数学上等价于线性 autoencoder）。,玩家「异常度AE」维；实测与对打型金标准正交，故只作新型异常哨兵、不参与罚池判定,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
经济口径误判率,误判经济学,,罚名单成员中，测试窗未净赢平台者的占比。,玩家罚侧误判率的**上界**——对打者盘面常近似打平，未即时赢钱不等于清白；配 Jeffreys 95% 区间呈现,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
经济命中率,评估指标,,名单成员在测试窗实际净赢平台者的占比。,罚侧的真尺：不依赖金标准覆盖——风控要拦的是钱，不是拦「有没有被人工标注过」,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
经验贝叶斯收缩,风险建模,,以全体样本估计一个先验分布，再把每个个体的观测比例向该先验拉近；样本越小拉得越多。,荷官高偏离占比的算法（Beta-Binomial）——只发了 30 局的荷官若碰巧撞上 1 次异常，原始占比即 3.3%，收缩后回归合理区间，免得小样本被错杀,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
结构演示,呈现纪律,,在无实测数据时，以合成数据画出评分骨架，并加满幅红字水印标明不可用于决策。,无实测数据实体的呈现纪律；本版风控专员已换 §S04p 实测直读，此纪律留作后备,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
结算形态（Draw No Bet）,博彩业务,,庄／闲两门在开出和局时**退还本金**（game_pnl 恰为 0），台面三果而结算只二果——即亚盘的 Draw No Bet；押和（Tie）与边注则为纯二元，无退还。,决定胜率与 Z 分数分母怎么写：退还局不入分母。故庄闲的判定基准须取**剔和后**的决胜局胜率（庄 50.68%／闲 49.32%），而非含和局的无条件概率（45.86%／44.62%）——后者只用于算庄家优势,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
统一价值坐标系,评分纪律,,把玩家、荷官、代理、风控专员等一切实体折入同一个货币尺度，以边际贡献（有他与无他之差）计价，并施加可加性约束 ΣV_e = 平台实际利润。,跨实体可比之唯一凭据。惟须守两界：其一，不得以「名下关联盈亏」记账（否则同一笔钱被各实体各算一遍）；其二，可比 ≠ 可信——统一坐标系解决的是排序，因果仍须实验,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
统一能力领域（Domain）,评分纪律,,把各实体各自命名的能力维，按其**所答之问**归入一组共同领域（获客／激活／充值／活跃／留存／收入／盈利／风险／效率／质量／网络／合规）。统一的是领域，不是实体。,本报告现有 31 维（玩家 10／荷官 8／代理 7／风控专员 6）**一维不删、一维不改名**，仅加 domain_id 归位。归位之前「玩家收入 83」与「荷官效率 91」之间毫无比较意义——它们不在同一根坐标轴上,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
统计修正,风控规则,,以各投注产品自身的正常胜率为基准重算偏离程度，取代对所有产品统一套一条胜率线的做法。,R-03 判定的修正口径；押和局（正常胜率约 9.5%）者不再因达不到 70% 而永久免检,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
统计修正轨,风控规则,,R-03 的修正判定轨：按各投注产品自身基准计算 Z 分数，判定条件为有效局数≥30 且 Z≥4。,替代统一 70% 胜率线——押和局（基准 9.5%）者不再永久免检；与需求原规则轨在 @sec-r03-bt 同轴回测对照,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
维度ROI,结账口径,,某一维高分位组（≥P90）的盈利率相对全体盈利率的差值。,「各领域能力值带来的 ROI」的直接度量：正差在筛盈利、负差在筛风险，赏罚幅度按此账分维定,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
综合分十分位,刻度,,§17.2 式折内综合分（训练窗现算：赏＝洗码量·活跃天数，罚＝对打率·净赢额·IP切换·稳定赢强度）切成十等分组，10 为最优。,预测分层乘数与能力值→ROI 总账的分组刻度；只用训练窗，零未来信息,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
综合分（赏−罚）,§17.2 口径,,赏侧各维分位均值减去罚侧各维分位均值；正为该赏、负为该罚。,四实体能力值的总排序刻度，口径逐字取自主方案 §17.2——只当排队顺序，措施仍跟维走,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
缩尾,实验设计,,把超出上下分位（本报告取 1%/99%）的极值截断到该分位值。,本窗实测方差削减约八成——极少数巨额个案贡献绝大部分波动；灰度主指标一律先缩尾,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
网段熵,代理维度,,代理线内会员 IP 所属 /24 网段的分布熵；熵越低表示越集中。,代理维「网段集中」的算料——打码农场的形状是少数网段承载大量会员,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
能力值 vs 增量值,评分纪律,,能力值答「这个实体本身有何能力」，形式为 P(Y|X)；增量值答「对其采取动作是否多产出」，形式为 E[Y|do(a)] − E[Y|do(a₀)]。,**唯增量值可据以花钱**。模型说「此代理未来很可能产生 NGR₃ 十万」只是条件期望；经营要问的是「若多派一名推广给他，究竟多产生多少」。二者不可互相冒充,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
能力值轨,回测轨道,,以 §17.2 式折内综合分（只用训练窗现算）圈定罚池：罚侧四维（对打率·净赢额·IP切换·稳定赢强度）分位前 0.1% ∪ 净赢额前 0.1%。,本报告回测主轨；与 PU-glm 模型轨、旧规则轨、均值+3σ 对照轨四轨并跑，冠军以折均净增益判定,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
自动识别文件并运行,口径纪律,,渲染时自动探测 `数据库/` 目录内的导出件，缺表即点名占位，绝不以静态文字冒充运行结果。,缺数据必须写明所待文件名、SQL 编号与受影响输出，此为交付铁律,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
自助法区间,统计推断,,对折级结果反复有放回重抽样，得到均值的分布，取其分位数作为区间。,年化外推的不确定性区间；因折级序列自相关，本报告一律改用 **moving-block 自助法**（Künsch 1989）而非 iid 重抽样——折数只有个位数，点估计必须配区间，且区间不可偏窄,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
自助法（Bootstrap）,统计推断,,把手上的样本反复重抽，用重抽结果的分布来估计不确定性，不依赖正态假设。,回测净增益的 5% 分位就是这么来的。**上线判据用 5% 分位而非均值**——均值为正只是运气不差，分位为正才是稳。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
自选择,统计偏差,Self-selection,分组依据本身与结果相关，致组间差异混入非处置因素。,所有分组对照结论的强制免责项；组间均值差不可解读为处置效应或提升空间。,—,—,分组级,—,—,凡以门槛（如 n≥30、n≥100、n≥171）筛选样本者，该门槛本身即构成自选择。,忽视自选择将把筛选效应误报为处置效应，是本项目最易犯的推断错误。,过度归因于自选择则会否定真实效应，须以 PSM／DID 之三硬门裁定。,以倾向得分匹配构造可比对照组；升级为随机对照或交错采纳 DID。,DEFINED,PRODUCTION,✅ 合法档内特化：各档绑定本档门槛（R01 为 ≥100／≥30，D-06 为 ≥30／≥171），母概念一致，不强行统一字面。,TRUE,非缺陷。COMMON 三段共享 + REPORT_SPECIFIC_CONTEXT 档内特化。,D06基准；D06高精；R01前；R01后,R01后,FULL8
自选择偏差,未分类,,Self-selection Bias，样本入选条件本身与结果相关联，导致组间比较混入非处置性差异；本报告 §6.2、§tier-30-171 两处独立触发同一机制，须同等谨慎对待。,（待补：本档未载用途）,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,D06高精,D06高精,MIN
节奏稳定度,荷官维度,,1/(1+日局数变异系数)：日强度越平稳分越高。,荷官赏侧维；以日强度离散度为代理量（逐局时长待表），节奏忽快忽慢是操作异常先兆,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
营业额 ≠ GGR ≠ NGR,口径纪律,,营业额（有效投注）属**活动量／暴露量**，非收益；GGR 为平台毛赢；NGR₃ 为扣除退水与占成后之余额。,商业链路不得跳级：能力值→活跃度→营业额→GGR→NGR₃→处置→增量 NGR。跳级即把「预测得动活动量」偷换成「预测得动利润」——充值同理，属客户价值链入口项，不得直接充作盈利 KPI,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
蒙特卡洛,数值方法,,反复随机抽样来估计一个难以解析求解的分布。,"赏罚幅度 δ*、γ* 的上限就是这么算出来的：4,000 次抽样后取 5% 分位。",,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
观察单位,统计纪律,,同一批处置在不同口径下数出不同的数：原始事件 532／处置节 315／会员 188（事件口径）或 123（节口径）／会员×日。**四者并不矛盾，而是四种观察单位**。,一切样本量陈述须先言明单位——审计数据库变更用原始事件、处置时长与生存分析用处置节、实验单位用会员、事件研究回归用会员×日；混用即是把不同的东西相加,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
解除率,未分类,,被标记会员次月仍在面板且 risk_label 转回 0 的占比。解除 ≠ 误判——可能是案结、行为终止或标签惯例所致，仅可作误判讨论的代理量与上界参考。,（待补：本档未载用途）,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,R01后,R01后,MIN
